1:1	Yaw Teyofil, téere bu jëkk, ba ma bindoon, ëmb na lépp li Yeesu tàmbali woon a jëf ak a jàngale,
16:32	Noonu ñu xamal ko kàddug Boroom bi, moom ak waa këram gépp.
16:33	Mu jël leen nag ci waxtu woowu ci guddi, raxas seeni gaañu-gaañu, ba noppi ñu sóob ko ci ndox, moom ak waa këram gépp.
16:34	Bi ñu ko defee mu yóbbu leen ca këram, jox leen ñu lekk, mu bég lool ci li mu gëm Yàlla, moom ak waa këram gépp.
16:35	Bi bët setee, àttekat ya yónni alkaati ya, ñu ne boroom kaso ba: «Yiwil ñaari nit ñooñu, ñu dem.»
16:36	Kon boroom kaso ba yégal loolu Pool ne ko: «Àttekat ya jox nañu ma ndigal, ngir ma yiwi leen, ngeen dem; léegi nag génnleen, te dem ci jàmm.»
16:37	Waaye Pool ne alkaati ya: «Dóor nañu nu ay yar ci kanamu ñépp, ci lu ñu wéerul ci benn àtte, rax-ca-dolli tëj nañu nu kaso, nun ñiy jaambur ci nguuru Room. Léegi ndax dañu noo bëgg a sànni ci mbedd mi ci kumpa? Mukk! Nañu ñëw, ñoom ci seen bopp, gunge nu ci biti.»
16:38	Bi mu ko waxee, alkaati ya yégal àttekat ya la mu wax. Bi ñu déggee ne, jaamburi Room lañu, ñu daldi tiit.
16:39	Ñu ñëw nag di leen dëfël, ñu gunge leen ci biti, di leen ñaan, ñu génn dëkk ba.
16:40	Noonu ñu génn ca kaso ba, dugg ci kër Lidi, ñu gis fa bokk ya, dëgëral leen, daldi dem seen yoon.
17:1	Bi ñu fa jógee, ñu aw yoon wa jaar dëkku Amfipolis ak Apoloni, door a ñëw Tesalonig, fa Yawut ya am jàngu.
17:2	Pool nag dugg ca ñoom, na mu ko daan defe, ba am fa ñetti bésu noflaay, muy werante ak ñoom ci li Mbind mi wax.
17:3	Mu di leen ko tekki, te di leen wax ay firnde yuy wone ne, fàww Almasi bi sonn te dekki. Mu ne leen: «Yeesu, mi ma leen di yégal, mooy Almasi bi.»
17:4	Noonu ñenn ci Yawut yi gëm, ànd ak Pool ak Silas, ñoom ak mbooloo mu mag ci Gereg yi ragal Yàlla, ak jigéen ñu am maana ñu bare.
17:5	Waaye kiñaan tàbbi ca Yawut ya, ñu daldi jël ay taxawaalukat ca pénc ma, dajale mbooloo, ñuy yengal dëkk ba. Ñu daanu ci kër Yason, di wut Pool ak Silas, ngir dëj leen ci kanam waa dëkk ba.
17:6	Bi ñu leen gisul nag, ñu diri Yason ak ñeneen ca bokk ya ci kanam àttekat ya. Ñuy wax ci kaw naan: «Nit ñi dëpp àddina sépp agsi nañu fii léegi,
17:7	te Yason a leen dalal. Ñoom ñépp dañoo bañ ndigali buur Sesaar ne, am na beneen buur bu ñuy wax Yeesu.»
17:8	Bi ko mbooloo mi ak àttekat yi déggee, ñu daldi jaaxle lool.
17:9	Noonu nanguwuñoo yiwi Yason ak ñi ci des, lu dul bi ñu leen bataleelee dara.
17:10	Bi loolu amee bokk yi jàllale Pool ak Silas ci saa si ci guddi, ñu jëm Bere. Ba ñu fa eggee nag, ñu dugg ca jàngub Yawut ya.
17:11	Fekk ña fa nekk ñoo gën a am ay teggin waa Tesalonig, ndaxte nangu nañu kàddu ga te sawar ca, di niir Mbind mi bés bu nekk, ba xam ndax loolu dëgg la am déet.
17:12	Kon nag Yawut yu bare gëm ak ñu bare ci Gereg yi, di jigéen yu am maana ak ay góor.
17:13	Waaye bi Yawuti Tesalonig déggee ne, Pool mu ngi yégle kàddug Yàlla ci Bere it, ñu daldi fay dikk, di jógloo ak a jaxase mbooloo ma.
17:14	Noonu bokk yi yebal Pool ca saa sa, mu jëm géej, waaye Silas ak Timote des fa.
17:15	Ñi ànd ak Pool nag gunge ko ba dëkku Aten. Bi ñu fa àggee, ñu woññiku, yóbbaale ndigalu Pool ne, Silas ak Timote ñëw fekksi ko ci lu gën a gaaw.
17:16	Bi leen Pool di nég ca Aten, mu am naqaru xol wu réy ci li mu gis dëkk ba fees ak ay nataali bokkaale Yàlla.
17:17	Muy werante nag ca jàngu ba ak Yawut ya ak ña ragal Yàlla, tey werante it bés bu nekk ca pénc ma ak ña fay dajaloo.
17:18	Noonu ay boroom xam-xam ci mbooloo mi ñuy wax Epikuren ak ci mbooloo mi ñuy wax Estowisen, di werante ak moom. Ñenn ci ñoom ne: «Fortukatu xam-xam bii, lu mu bëgg a wax?» Te ña ca des, bi ñu déggee Pool di waare xebaar bu baax bi, aju ci Yeesu ak ci mbirum ndekkite, ñu ne: «Dafa mel ni, day waare ay yàlla yu nu xamul.»
17:19	Kon nag ñu jël ko, yóbbu ko ca géew, ba ñuy wax Areyopas. Ñu ne ko: «Danoo bëggoon, nga leeral nu ci sa xam-xam bu bees, bii ngay yégle.
17:20	Ndaxte sol nga ci sunuy nopp lu nu xamul. Danoo bëggoon a xam nag léegi, loolu lu muy tekki.»
17:21	Ndaxte waa Aten ñépp ak doxandéem ya fa dëkk, wax ak a déglu lu bees rekk lañu daan xënte.
17:22	Noonu Pool taxaw ci biir mbooloom Areyopas ne leen: «Yéen waa Aten gis naa ne, farlu ngeen ci diine lool.
17:23	Ndaxte bi may doxantu di seet seeni màggalukaay, gis naa ci benn bu ñu bind lii: “Yàlla mi nu xamul.” Li ngeen di màggal nag te xamuleen ko, loolu laa leen di xamal.
17:24	«Yàlla mi sàkk àddina ak li mu ëmb lépp, moom miy Boroom asamaan ak suuf, du dëkk ci néegi màggalukaay yu loxoy nit defar.
17:25	Du jariñu it ci loxoy nit, mel ni dafa soxla dara, ndax moom mooy jox ñépp bakkan ak ruu ak lépp.
17:26	Ci kenn nit la sàkke xeeti àddina yépp, ñu dëkk ci ñeenti xebla yi; fekk àppal na xeet wu nekk jamonoom, te rëdd seen diggi réew.
17:27	Yàlla def na loolu, ngir ñu koy wut ci yaakaaru daj ko ci làmbatu, fekk sax sorewul kenn ci nun.
17:28	“Ndaxte ci moom lanuy dunde, di ci jëf te nekk ci,” ni ko ñenn ci seeni taalifkat dëggale naan: “Nun noo di aw xeetam.”
17:29	Kon nag, bu nu nekkee xeetu Yàlla, warunoo gëm ne, Yàlla mel na ni nataali wurus, xaalis mbaa doj yu nit defar ci xareñ mbaa xel.
17:30	Ca jamono yu wees ya Yàlla toppul ñàkka xam googa, waaye léegi koo man a doon ak foo man a nekk, Yàlla santaane na, nga tuub say bàkkaar.
17:31	Ndaxte sàkk na bés bu muy àtte àddina ci njub, dénk ko Nit ki mu tànn; te firndeel na loolu bu wóor, ci li mu ko dekkal ca néew ya.»
17:32	Bi ñu déggee nag, muy wax ci mbirum ndekkitel ñi dee, ñii di ko fontoo, ña ca des ne ko: «Dinanu la déglu ci mbir moomu beneen yoon.»
17:33	Noonu Pool génn ci seen biir.
17:34	Moona am na ñenn ñu taq ci moom te gëm: xàmmees na ci Denis, ku bokk ci mbooloom Areyopas, ak jigéen ju tudd Damaris, ak ñeneen.
18:1	Bi loolu wéyee Pool bàyyikoo Aten, dem Korent.
18:2	Mu tase fa ak Yawut bu tudd Akilas te juddoo diiwaanu Pont. Muy sog a jóge réewu Itali ak jabaram Pirsil, ndaxte buur ba Këlódd sant na Yawut yépp, ñu génn Room.
18:3	Noonu Pool seeti leen, te gannaaw ñoo bokk liggéey, maanaam di defar ay tànt, mu dal fa ñoom, ñuy liggéeyandoo.
18:4	Bésu noflaay bu nekk nag muy diisoo ak ñi nekk ca jàngu ba, di jéem a gëmloo ay Yawut ak ay Gereg.
18:5	Waaye bi Silas ak Timote jógee diiwaanu Maseduwan, egg fa, Pool jublu ci xamle kàddu gi, tey dëggal ci Yawut yi naan, Yeesu mooy Almasi bi.
18:6	Bi ko Yawut ya gàntoo nag, di ko xas, mu yëlëb ay yéreem ne leen: «Yéena sàkku seen musiba; set naa ci. Léegi maa ngi dem ci ñi dul Yawut.»
18:7	Ci kaw loolu mu jóge fa, dugg ci këru ku tudd Tisiyus Yustus, di ku ragal Yàlla, te kër ga dend ak jàngu ba.
18:8	Kirispus nag, njiitu jàngu ba, gëm na Boroom bi ak waa këram gépp. Te waa Korent ñu bare dégg kàddu gi te gëm ko, ñu sóob leen ci ndox.
18:9	Naka noona Boroom bi feeñu Pool ci guddi ne ko: «Bul tiit dara, waaye deel wax te bañ a noppi.
18:10	Ndaxte maa ngi ànd ak yaw, te kenn du la jàpp, ba fitnaal la, ndaxte am naa xeet wu bare ci dëkk bii.»
18:11	Noonu Pool des at ak genn-wàll ci seen biir, di fa jàngale kàddug Yàlla.
18:12	Ci nguuru Galyon ci diiwaanu Akayi nag, Yawut ya likkoo, ñu dal ci kaw Pool, yóbbu ko ca àttekaay ba.
18:13	Ñu ne: «Kii day xiir nit ñi ci màggal Yàlla ci lu juuyoo ak yoon wi.»
18:14	Bi Pool bëggee wax nag, Galyon ne Yawut ya: «Yéen Yawut yi, bu aju woon ci jàdd yoon walla ñaawteef wu réy, kon liy yoon mooy ma déglu leen.
18:15	Waaye bu ajoo ci ay werante ciy wax ak ay tur ak seen yoon, loolu seen wàll la; man duma ko àtte.»
18:16	Noonu mu dàq leen ca àttekaay ba.
18:17	Ci kaw loolu nit ñépp jàpp Sosten, njiitu jàngu ba, ñu di ko dóor ca kanamu àttekaay ba, waaye Galyon faalewu leen.
18:18	Bi loolu wéyee Pool desati fa fan yu bare. Gannaaw ga mu tàggtoo ak bokk ya, dugg gaal jëm Siri, ànd ak Pirsil ak Akilas. Bi mu jógeegul teerub Señsere, mu watlu boppam, ndaxte am na lu mu dige woon ak Yàlla.
18:19	Noonu ñu teer ci Efes. Pool bàyyi fa ñi mu àndaloon, daldi dugg ca jàngu ba, di diisoo ak Yawut ya.
18:20	Ñu ñaan ko, mu des fa lu gën a yàgg, waaye nanguwul.
18:21	Kon mu tàggtoo ak ñoom naan: «Dinaa dellusi ci yéen, bu soobee Yàlla.» Noonu mu dugg gaal, jóge Efes,
18:22	teersi dëkku Sesare, mu dem nuyu mbooloom ñi gëm, ba noppi dem Ancos.
18:23	Bi mu fa desee ay jamono, mu jóge fa, di jaar dëkkoo-dëkk ci diiwaanu Galasi ak Firisi, di dooleel xoli taalibe yépp.
18:24	Amoon na nag Yawut bu tudd Apolos te juddoo Alegsàndiri, mu dikk Efes. Nit ku yeewu la woon te am xam-xam bu yaatu ci Mbind mi.
18:25	Jàngoon na ci yoonu Boroom bi, di ku farlu ci xelam, muy xamle ak a jàngale bu wóor ci mbirum Yeesu, waaye fekk xam-xamam yem ci ni Yaxya daan sóobe ci ndox.
18:26	Noonu mu daldi wax ak fit wu dëgër ca jàngu ba. Bi ko Pirsil ak Akilas déggee nag, ñu woo ko fi ñoom, gën ko leeral yoonu Yàlla.
18:27	Naka mu bëgg a dem Akayi, bokk ya xiir ko ca, ñu bind taalibe ya, ngir ñu teeru ko teeru bu rafet. Noonu mu dikk fa te jariñ lool ñi gëm jaare ko ci yiwu Yàlla.
18:28	Ndaxte mu ngay yey Yawut ya ca kanam ñépp, di firi Mbind yi, ba wone ne Yeesu mooy Almasi bi.
19:1	Ba Apolos nekkee Korent nag, Pool jaar ca teggi ya gën a kawe ca réew ma, door a dikk Efes. Noonu mu gis fa ay taalibe.
19:2	Mu ne leen: «Ndax jot ngeen ci Xel mu Sell mi, bi ngeen gëmee?» Ñu tontu ko: «Déggunu sax ne, Xel mu Sell mi am na.»
19:3	Mu ne leen: «Kon nag, bi ñu leen sóobee ci ndox, lu ciy maana?» Ñu tontu ko: «Xanaa li Yaxya tëral.»
19:4	Pool ne leen: «Yaxya daan na sóob nit ñi ci ndox, ndax bi ñu tuubee seeni bàkkaar; te mu ne bànni Israyil, kiy topp ci moom lañu war a gëm, maanaam Yeesu.»
19:5	Bi ñu déggee loolu nag, sóob nañu leen ci ndox ci turu Yeesu Boroom bi.
19:6	Te bi leen Pool tegee loxo, Xel mu Sell mi ñëw ci ñoom, ñuy wax yeneeni làkk, di wax ci kàddug Yàlla.
19:7	Limub nit ñooñu nekk na lu mat fukk ak ñaar.
19:8	Noonu Pool dugg ca jàngu ba, di wax ak fit wu dëgër diirub ñetti weer, di diisoo ak ñoom ci mbirum nguurug Yàlla, di leen jéem a gëmloo.
19:9	Waaye bi xolu ñenn ci ñoom fattee, ñu gëmadi, bay suufeel yoon wi ci kanam mbooloo ma, mu jóge ci ñoom, xàjjale taalibe yi ak ñoom, di diisoo bés bu nekk ca jàngukaayu ku ñuy wax Tiranus.
19:10	Mu wéy ci noonu diirub ñaari at, ba ñi dëkk diiwaanu Asi ñépp dégg kàddug Boroom bi, muy Yawut muy Gereg.
19:11	Booba Yàllay def ay kéemaan yu ràññiku yuy jaar ci loxoy Pool.
19:12	Ñu yóbbul sax ñi wopp ay kaala ak ay taraxlaay yu laaloon yaramam, ba jàngoro yi di leen bàyyi, rab yay génn ci ñoom.
19:13	Noonu ay Yawut yuy wëndéelu, di faj ñi rab jàpp, ñu di leen jéem a ñaanal ci turu Yeesu Boroom bi naan: «Ci turu Yeesu, mi Pool di yégle, génnleen.»
19:14	Ñi doon def loolu, juróom-ñaari doom lañu woon ci Sewa, mi doon taafantaloo saraxalekat bu mag ba ci Yawut yi.
19:15	Waaye bi ñu ko defee rab wa tontu leen ne: «Xam naa Yeesu, xam naa it kuy Pool, waaye yéenay ñan?»
19:16	Ci kaw loolu nit ka rab jàpp song leen, noot leen ñoom ñépp; mu soxore leen lool, ba ñu daw kër ga, def yaramu neen te gaañu bu metti.
19:17	Loolu siiw na ci ñépp, ñi dëkk Efes, di Yawut ak Gereg; tiitaange jàpp leen ñoom ñépp, ba ñu màggal turu Yeesu Boroom bi.
19:18	Bi loolu amee ñu bare ci ñi gëm ñëw, di wesar ci kanam ñépp seeni jati luxus.
19:19	Te ñu bare ci ñi daan luxus, indi seeni téere, lakk leen ci kanam ñépp. Te bi ñu xaymaa njëg ga, mu tollook juróom-fukki junniy poseti daraxma.
19:20	Noonu la kàddu Boroom bi lawe, te noot lépp.
19:21	Bi loolu wéyee Pool nas xel jëm Yerusalem, jaar ci diiwaani Maseduwan ak Akayi. Mu ne: «Gannaaw bu ma fa demee, fàww ma seeti Room it.»
19:22	Mu yebal nag ci Maseduwan ñaari jaraafam, di Timote ak Erast, waaye moom mu des ab diir ci Asi.
19:23	Fekk booba amoon na yengu-yengu bu réy ci lu aju ci Yoon wi.
19:24	Ndaxte nit ku tudd Demetirus, di tëggu xaalis buy defar nataali xaalis ngir màggal Artemis, daan na ci jariñu lu bare, moom ak ay nawleem.
19:25	Noonu mu dajale leen ak seeni liggéeykat ne leen: «Gaa ñi, xam ngeen ne, sunu njariñ mu ngi aju ci liggéey bii.
19:26	Gis ngeen nag te dégg ne, Pool male gëmloo na bay fàbbi mbooloo mu bare, waxuma ci Efes rekk, waaye ci biir Asi gépp naan: “Yàlla yu ay loxo defar duñu ay yàlla.”
19:27	Léegi kat loraangee ngi nuy yoot, te du yem ci xañ nu sunu liggéey rekk, waaye it dina daaneel màggalukaayu Artemis sunu yàlla ju mag ji, tey neenal ndamam, moom mi Asi gépp te àddina sépp di màggal.»
19:28	Bi ñu déggee loolu, mer mu réy tàbbi ci ñoom, ñuy yuuxu ne: «Artemis mu Efes màgg na!»
19:29	Noonu dëkk bépp jaxasoo. Ñu bokk benn xalaat, daldi ne milib ca powukaay ba, diri Gayus ak Aristàrk, waa Maseduwan, ñi ànd ak Pool.
19:30	Pool nag bëgg a dugg ca mbooloo ma, waaye taalibe ya nanguwuñu ko.
19:31	Ñenn ca jawriñi nguur gi it, ñuy ay xaritam, yónnee ci moom, di ko dénk, mu bañ a jaay bakkanam ci dugg ca powukaay ba.
19:32	Noonu ndaje ma rëb, ba ñii di yuuxu lii, ñale di yuuxu laa, te ña ca gën a bare xamuñu lu waral ndaje ma.
19:33	Ci kaw loolu Yawut ya jéñ Alegsàndar ci kanam, te mbooloo ma di ko xaacu ay ndigal, mu daldi tàllal loxoom, ngir làyyi ca mbooloo ma.
19:34	Waaye bi ñu xamee ne Yawut la, ñépp a bokk benn baat, yuuxu diirub lu mat ñaari waxtu naan: «Artemis mu Efes màgg na!»
19:35	Gannaaw loolu boroom dëkk ba dalal mbooloo ma ne leen: «Yéen waa Efes, ana ku xamul ne, dëkku Efes moo di wottukaayu màggalukaayu Artemis ak nataalam, bi wàcce asamaan?
19:36	Gannaaw nag kenn mënta weddi loolu, war ngeen a dalal seen xel te bañ a sañaxu ci dara.
19:37	Ndaxte nit ñii ngeen fi indi sàccuñu ca màggalukaay ya te sosaluñu sunu yàlla.
19:38	Su fekkee ne Demetirus ak ay nawleem jànkoonte nañu ak kenn, am na ay bési layoo ak ñu yilif réew mi; nañu fa woo ku ñu amleenteel.
19:39	Waaye su ngeen di laaj leneen, mbooloom dëgg dina ko àtte.
19:40	Ndaxte fi mu ne man nañu noo jiiñ jógug mbooloo mi ndax li fi xew tey. Te bu loolu amee dunu am aw lay ci mbirum mbooloo mu rëb mii, ndaxte amul dara lu ko waral.»
19:41	Bi mu waxee loolu nag, mu tas mbooloo ma.
20:1	Bi yengu-yengu ba dalee, Pool woo taalibe ya fa moom, dooleel leen. Bi mu ko defee mu tàggoo ak ñoom, jóge fa, dellu diiwaanu Maseduwan.
20:2	Noonu mu jaar ca bérab yooyu, di dooleel nit ñi ak wax yu bare; ba noppi mu dem réewu Geres,
20:3	toog fa ñetti weer. Waaye bi mu nekkee ci kaw tànki dugg gaal jëm diiwaanu Siri, te Yawut yi lalal ko pexe, mu fas yéenee dellu, jaare Maseduwan.
20:4	Booba nag ñii ñoo ànd ak moom: Sopater, doomu Pirus mi dëkk Bere; Aristàrk ak Segond, ñi dëkk Tesalonig; Gayus, mi dëkk Derbë, ak Timote; te it Tisig ak Torofim ñi dëkk Asi.
20:5	Ñooñu nag jiitu, di nu nég dëkku Torowas.
20:6	Waaye naka nun, gannaaw màggalu Yawut, ga ñuy wax Mburu ya amul lawiir, nu dugg gaal ci Filib, def ci juróomi fan, fekksi leen Torowas, nu am fa juróom-ñaari fan.
20:7	Ca bés bu jëkk ca ayu-bés ga, booloo nanu ngir damm mburu ma. Te Pool, mi bëggoon a dem ca ëllëg sa, di diisoo ak ñoom te waxtaanam law ba ci xaaju guddi.
20:8	Ca néeg bu kawe, ba nu booloo nag, amoon na fa làmp yu bare.
20:9	Noonu waxambaane wu tudd Ëtikus te toog ca palenteer ba, gëmmeentu bay jeyaxu. Bi Pool di gën a yaatal waxtaanam nag, nelaw daldi ko jàpp, mu xàwweekoo ca ñetteelu taax ma, daanu, ñu yékkati ko, fekk mu dee.
20:10	Waaye Pool wàcc, daldi sëgg ci kawam, roof ko loxoom ne leen: «Bàyyileen jooy yi, mu ngi dund.»
20:11	Noonu mu yéegaat, damm mburu ma, lekk; ba noppi delluwaat ci waxtaanam, di ko yaatal ba ca njël, door a tàggoo.
20:12	Naka waxambaane wa, ñu indi ko muy dund, ba seen xol sedd guyy.
20:13	Nun nag nu jiitu, dugg gaal jëm Asos, fa nu Pool santoon, nu jële ko fa; fekk moom fas na yéeney dox, ba agsi fa.
20:14	Noonu mu fekksi nu ci Asos, nu jël ko ca gaal ga, dem Mitilen.
20:15	Gannaaw loolu gaal ga jóge fa, nu agsi ca ëllëg sa janook dunu Kiyos. Bés ba ca tegu nag nu jàll ba Samos, te ñetteelu fan ba nu àgg Mile.
20:16	Ndaxte Pool fasoon na yéenee teggi Efes, ngir bañ a yàgg ci diiwaanu Asi; mu ngi doon gaawantu, ngir màggal, gi ñuy wax Pàntakot fekk ko Yerusalem.
20:17	Bi Pool eggee Mile nag, mu yónnee ca Efes, ngir woo njiiti mbooloom ñi gëm.
20:18	Bi ñu ñëwee, mu ne leen: «Yéen xam ngeen bu baax, ni ma doon doxale diirub sama ngan gépp ci seen biir, li dale ci bés bi ma jëkkee teg tànk ci Asi ba tey.
20:19	Jaamu naa Boroom bi ci woyof gu mat ak ay rangooñ, dékku ay nattu yu ma pexey Yawut yi indil.
20:20	Xam ngeen ne, musuma leen a nëbb dara lu leen di jariñ, di leen jàngal ci kanamu ñépp ak ca kër ya.
20:21	Dénk naa Yawut yi ak Gereg yi ne leen, ñu tuub seeni bàkkaar, ba woññiku ci Yàlla te gëm sunu Boroom Yeesu.
20:22	«Léegi maa ngi nii di dem Yerusalem, ci li ma Xelu Yàlla mi xiirtal, te xawma lu ma fay dal.
20:23	Xam naa rekk ne, ci dëkkoo-dëkk Xel mu Sell mi xamal na ma ne, ay buum ak ay metit ñu ngi may nég.
20:24	Waaye sama bakkan soxalu ma, su fekkee bey naa sama sas, ba matal liggéey, bi ma Boroom bi dénk, maanaam ma seedeel ci ñépp xebaar bu baax, bi ëmb yiwu Yàlla.
20:25	«Fi mu ne nag xam naa ne, dootuleen gis sama kanam, yéen ñépp ñi ma jaaroon ci seen biir, di yégle nguuru Yàlla.
20:26	Moo tax may dëggal tey jii ne, wàccoo naa ak yéen ñépp bés pénc.
20:27	Ndaxte ñeebluwuma leen, ci di leen xamal lépp li Yàlla digle.
20:28	Wottuleen nag seen bopp te wottu coggal jépp, ji leen Xel mu Sell mi def sàmm, ngeen sàmm mbooloo, mi Yàlla jotal boppam ak deretu Doomam.
20:29	Xam naa ne, bu ma leen wonee gannaaw, bukki yu soxor dinañu tàbbi ci coggal ji te duñu ci ñeeblu kenn.
20:30	Ay nit dinañu jóg ci seen biir sax, di wax luy sànke, ngir sàkku ay taalibe.
20:31	Foogleen nag, di fàttaliku ne diirub ñetti at, guddi ak bëccëg, musumaa noppi di leen artu kenn ku nekk ci yéen ak ay rangooñ.
20:32	«Léegi nag maa ngi leen di dénk Boroom bi, moom ak kàddug yiwam, gi leen man a dëgëral te may leen cér ci biir gaayi Yàlla yu sell yépp.
20:33	Nammuma xaalisu kenn mbaa wurusam mbaa koddaayam.
20:34	Xam ngeen ne, faj naa samay soxla ak soxlay ñi ànd ak man ci sama loxo yii.
20:35	Ci lépp won naa leen royukaay, ci li nu war a dimbali ñi néew doole te fàttaliku li Yeesu Boroom bi wax moom ci boppam ne: “Joxe moo gën a barkeel nangu.”»
20:36	Bi mu waxee loolu, mu sukk ak ñoom ñépp, ñaan ci Yàlla.
20:37	Te ñépp jooy bu metti, di laxasu ci baatu Pool, fóon ko bu baax.
20:38	Li leen gën a teg aw tiis mooy li mu leen wax: «Dootuleen gis sama kanam.» Noonu ñu gunge ko ba ca gaal ga.
21:1	Bi nga xamee ne tàggoo nanu ak ñoom ci naqar, nu dugg gaal, jubal dunu Kos. Te ca ëllëg sa nu dem ba teer ca Rodd, ba noppi jóge fa, jàll ba Patara.
21:2	Foofa nag nu gis gaal guy jàll ba Fenisi, nu dugg ca, mu daldi teddi.
21:3	Noonu nu séen dunu Sipar, bàyyi ko ci sunu càmmooñ, jublu diiwaanu Siri, nu teersi Tir. Ndaxte foofa la gaal gi war a yebbee la mu yeboon.
21:4	Nu wut taalibe ya, ba gis leen, toog ak ñoom juróom-ñaari fan. Ñoom nag ñu ne Pool ci li leen Xelu Yàlla mi may, mu bañ a dem Yerusalem.
21:5	Moona bi jataayu gaal ga matee, nu awaat ci yoon wi. Te ñépp gunge nu, ñoom ak seeni jabar ak seeni doom; nu génn dëkk ba, sukk ca tefes ga, ñaan ci Yàlla.
21:6	Noonu nu tàggoo ak ñoom, dugg ca gaal ga, ñu dellu seen kër.
21:7	Bi nu jógee Tir nag, nu demaat ci géej, ba teer Patolemayis. Foofa nu nuyu bokk ya, yendu, fanaan.
21:8	Nu jóge fa ca ëllëg sa, ñëw ba ca dëkku Sesare. Nu dugg ca kër Filib, taskatu xebaar bu baax bi, mi bokk ci Juróom-ñaar ña, nu dal fa moom.
21:9	Amoon na ñeenti doom yuy janq, ñuy wax ci kàddug Yàlla.
21:10	Bi nu fa nekkee ay fan nag, yonent bu tudd Agabus jóge Yude, agsi.
21:11	Mu ñëw ci nun, daldi yeew ay loxoom ak i tànkam ak laxasaayu Pool naan: «Nii la Xel mu Sell mi waxe: “Ki moom laxasaay gii, Yawut yi dinañu ko yeewe nii ca Yerusalem, jébbal ko ñi dul Yawut.”»
21:12	Bi nu déggee loolu, nun ak ña fa nekk nu ñaan Pool, mu bañ a dem Yerusalem.
21:13	Ci kaw loolu Pool tontu ne: «Lu ngeen di jooy, di yàq sama xol? Bañuma ñu yeew ma rekk, waaye nangu naa sax, ñu rey ma ci Yerusalem ngir turu Yeesu Boroom bi.»
21:14	Bi nu ko mënul a dëpp, nu noppi ne: «Kon na coobareg Boroom bi am!»
21:15	Gannaaw fan yooyu nu defaru, ngir dem Yerusalem.
21:16	Noonu ay taalibe yu dëkk Sesare ànd ak nun, yóbbu nu ca nit ku tudd Manason, fu nu war a dal; moom nag nitu Sipar la woon, di taalibe bu yàgg.
21:17	Bi nu agsee Yerusalem nag, taalibe ya teeru nu ak mbég.
21:18	Ca ëllëg sa Pool ànd ak nun, seeti Saag, fekk njiit yépp teew fa.
21:19	Noonu Pool nuyu leen, nettali leen benn-benn li Yàlla def ci biir ñi dul Yawut, jaarale ko ci liggéeyam.
21:20	Bi ko njiit ya déggee, ñu màggal Yàlla ne ko: «Mbokk mi, gis nga ne, am na ay junniy Yawut ñu gëm, te ñépp a sawar ci yoonu Musaa.
21:21	Dégg nañu ci sa mbir nag ne, yaa ngi jàngal Yawut yépp, yi dëkk ci biir ñi dul Yawut, ñu bàyyi yoonu Musaa te bañ a xarafal seeni doom mbaa topp sunuy aada.
21:22	Lu nu ci war a def nag? Ndaxte ci lu wér dinañu xam ne, ñëw nga.
21:23	Nu ngi lay digal nag, nga def nii: am na ci nun ñeenti góor yu dige ak Yàlla.
21:24	Jël leen, bokk ak ñoom setlu, te nga gàddu seen peyu wateef. Noonu ñépp dinañu xam ne, li ñu déggoon ci sa mbir du dëgg, waaye yaa ngi jëf tey sàmm yoonu Musaa.
21:25	Naka ñi dul Yawut ñi gëm, bind nanu leen li nu àtte ne, ñu moytu ñam wu ñu tuuroo xërëm te moytu deretu médd ak njaaloo.»
21:26	Bi ñu ko waxee, Pool jël nit ña te ca ëllëg sa mu bokk setlu ak ñoom, ñu dugg ca kër Yàlla ga. Ñu xamle ban bés la seen setlu di àgg, di bés bu ñuy jébbale sarax ngir kenn ku nekk ci ñoom.
21:27	Bi àppu juróom-ñaari fan ya di bëgg a jeex, Yawut yi jóge diiwaanu Asi gis Pool ca kër Yàlla ga. Ñu daldi jógloo mbooloo mépp, jàpp ko,
21:28	di xaacu ne: «Wallee, wallee, yéen bokki Israyil; waa jaa ngi nii, moom miy waare fépp ak ci ñépp, bay suufeel sunu xeet ak yoonu Musaa ak bérab bii; dugal na sax ay Gereg fii ci kër Yàlla gi, ba indi sobe ci bérab bu sell bii.»
21:29	Li tax ñu wax loolu, mooy gisoon nañu Torofim mu Efes, ànd ak moom ca dëkk ba, te ñu yaakaar ne, Pool dugal na ko ca kër Yàlla ga.
21:30	Noonu dëkk ba bépp màbb, mbooloo ma ne këpp, ñu jàpp Pool, génne ko ca kër Yàlla ga. Ca saa sa ñu tëj bunt ya.
21:31	Bi ñu koy wut a rey, xebaar ba agsi ba ca kilifag mbooloom xarekat ba, naan Yerusalem gépp jaxasoo na.
21:32	Ca saa sa mu ànd ak ay xarekat ak ay njiiti xare, ne jaas wàcc ci ñoom. Bi Yawut ya gisee kilifa ga ak xarekat ya nag, ñu daldi bàyyi dóor, ya ñu doon dóor Pool.
21:33	Noonu kilifa ga jegesi jàpp ko, santaane ñu jéng ko ak ñaari càllala. Bi ñu ko defee mu laaj ku mu doon ak lu mu def.
21:34	Waaye ci biir mbooloo ma, bu ñii nee lii, ña ca des ne laa. Kon nag gannaaw mënu caa xam dara lu wóor ndax coow li, mu santaane, ñu yóbbu ko ci biir tata ja.
21:35	Bi Pool eggee ca yéegukaayu tata ja, aaytalu mbooloo ma réy, ba ay xarekat fab ko.
